longitude,latitude,toll_name,geo_state
74.99684426,23.41805978,Dhamnod Toll Plaza,Madhya Pradesh
79.6149671,22.0757748,Seoni Toll Plaza,Madhya Pradesh
79.338166,19.8897059,Warora Toll Plaza,Maharashtra
77.485,23.1415,11 Miles Toll Plaza,Madhya Pradesh
87.9669882,24.8223539,18Th Mile Toll Plaza,West Bengal
74.3359426,29.5199622,6 ML Toll Plaza,Rajasthan
81.541637,27.2970385,Aaini Toll Plaza,Uttar Pradesh
78.792226,27.4866364,Aaspur Toll Plaza,Uttar Pradesh
74.541811,29.8310108,Abubshehar Toll Plaza,Haryana
74.5375693,30.1395862,Abul Khurana Toll Plaza,Punjab
72.9136889,20.0749232,Achhad Border Checkpost Toll Plaza,Maharashtra
72.5602639,23.1864145,Adalaj Toll Plaza,Gujarat
86.1433339,22.7997257,Adityapur Bridge Toll Plaza,Jharkhand
83.150691,17.685166,Agnampadi Toll Plaza,Andhra Pradesh
78.0036388,27.3029499,Agra Toll Plaza,Uttar Pradesh
75.7916481,22.607405,Agroh Pathways (SH 38A) Toll Plaza,Madhya Pradesh
81.4219104,26.8583113,Ahmadpur Toll Plaza,Uttar Pradesh
72.650098,22.9758307,Ahmedabad Toll Plaza,Gujarat
72.4727484,22.9737029,Ahmedabad (Ring Road) Pl Toll Plaza,Gujarat
72.6616119,22.972483,Ahmedabad Ring Road 2 Toll Plaza,Gujarat
72.6476766,22.9760029,Ahmedabad Vadodra Expressways Toll Plaza,Gujarat
81.0325393,26.1979633,Aihar Toll Plaza,Uttar Pradesh
81.6092604,26.2354462,Aindhi Toll Plaza,Uttar Pradesh
77.4309156,17.5014853,Ainoli Toll Plaza,Karnataka
72.965821,19.1530141,Airoli Toll Plaza,Maharashtra
73.0087725,18.9697719,Airport - Sewri Section Toll Plaza,Maharashtra
79.2077546,25.8799384,Ait Toll Plaza,Uttar Pradesh
75.3443677,27.5081438,Akhepura Toll Plaza,Rajasthan
73.535235,21.32525,Akkalkuva Check Post Toll Plaza,Gujarat
83.2744537,26.7287617,Akshda Toll Plaza,Uttar Pradesh
78.5804347,10.6408295,Akudi Toll Plaza,Tamil Nadu
80.7054303,26.3392488,Akwabad Toll Plaza,Uttar Pradesh
78.2772405,27.0535379,Alep Main 21 Toll Plaza,Uttar Pradesh
80.7107108,26.8456349,Alep Main 290 Toll Plaza,Uttar Pradesh
78.9773791,27.003609,Alep Ramp 101 Toll Plaza,Uttar Pradesh
79.0762287,26.9492453,Alep Ramp 108 Toll Plaza,Uttar Pradesh
79.1581685,26.9143684,Alep Ramp 116 Toll Plaza,Uttar Pradesh
79.3310671,26.9091998,Alep Ramp 133 Toll Plaza,Uttar Pradesh
79.1602989,26.9136189,Alep Ramp 154 Toll Plaza,Uttar Pradesh
79.6535088,27.0708105,Alep Ramp 171 Toll Plaza,Uttar Pradesh
79.814441,26.98693,Alep Ramp 193 Toll Plaza,Uttar Pradesh
79.880291,26.9294041,Alep Ramp 204 Toll Plaza,Uttar Pradesh
80.200743,26.926112,Alep Ramp 238 Toll Plaza,Uttar Pradesh
80.48483,26.9047203,Alep Ramp 269 Toll Plaza,Uttar Pradesh
78.3351684,27.0387186,Alep Ramp 27 Toll Plaza,Uttar Pradesh
80.668758,26.8500628,Alep Ramp 284 Toll Plaza,Uttar Pradesh
78.5825899,26.99896,Alep Ramp 54 Toll Plaza,Uttar Pradesh
78.8133088,26.9674987,Alep Ramp 77 Toll Plaza,Uttar Pradesh
78.9465246,27.0157331,Alep Ramp 92 Toll Plaza,Uttar Pradesh
80.027101,26.912105,Alep Ramp 220 Toll Plaza,Uttar Pradesh
74.7269695,29.9209392,Alika Toll Plaza,Haryana
76.9919149,27.7669053,Alipur Tigra 2 Toll Plaza,Haryana
80.1630504,26.0697807,Aliyapur Toll Plaza,Uttar Pradesh
79.5453062,22.2721747,Alloinia Toll Plaza,Madhya Pradesh
73.2044535,23.2730374,Alva Toll Plaza,Gujarat
77.8984251,15.4864,Amakathadu Toll Plaza,Andhra Pradesh
75.3201912,29.0856623,Amarpura Toll Plaza,Rajasthan
76.8128373,30.5272867,Ambala Chandigarh Toll Plaza,Punjab
82.8856907,26.3684277,Amdi Toll Plaza,Uttar Pradesh
75.049934,15.528224,Aminbhavi Toll Plaza,Karnataka
76.8760965,23.1020974,Amlaha Toll Plaza,Madhya Pradesh
73.1259311,24.8418839,Amli Toll Plaza,Rajasthan
77.0908951,27.1014078,Amoli Toll Plaza,Rajasthan
83.0569444,25.9811111,Amora Moiddinpur Kala Toll Plaza,Uttar Pradesh
76.480686,29.3669362,Amrawali Khera Toll Plaza,Haryana
74.2531427,29.3926633,Amritsar Jamnagar Expwy Toll Plaza,Rajasthan
72.3465059,23.0083011,Ahmedabad-Dhangdhra Highway Toll Booth,Gujarat
71.3705385,23.0007861,AMTL-Tp03-Soldi Toll Plaza,Gujarat
70.8583,23.0725,AMTL-Tp04-Aniyari Toll Plaza,Gujarat
72.981298,22.594556,Anand Toll Plaza,Gujarat
79.267282,26.59564,Anantram Toll Plaza,Uttar Pradesh
81.642923,25.6118713,Andiyari Toll Plaza,Uttar Pradesh
73.9710349,17.8103317,Anewadi Toll Plaza,Maharashtra
69.31038,23.32546,Angiya Toll Plaza,Gujarat
75.0794355,17.3593938,Ankadhal Toll Plaza,Maharashtra
82.1473895,16.6722283,Annampalli Toll Plaza,Andhra Pradesh
74.5521136,22.8653439,Antarveliya Toll Plaza,Madhya Pradesh
78.971649,20.553225,Arambha Toll Plaza,Maharashtra
73.1660415,19.3619885,Arjunalli Toll Plaza,Maharashtra
75.1985552,25.0911602,Aroli Toll Plaza,Rajasthan
86.6325589,26.2967379,Asanpur Toll Plaza,Bihar
86.3529489,26.2978728,Asanpur Kupaha Toll Plaza,Bihar
76.3586728,18.1282205,Ashiv Toll Plaza,Maharashtra
76.751685,18.469501,Ashta Toll Plaza,Maharashtra
76.8461383,28.725237,Asoda Toll Plaza,Haryana
81.9462051,26.3005613,Asroga Toll Plaza,Uttar Pradesh
79.779993,12.34699,Athur Toll Plaza,Tamil Nadu
82.2754595,24.9597867,Atraila Shiv Gulam Toll Plaza,Uttar Pradesh
77.7769972,12.7768018,Attibelle Toll Plaza,Karnataka
80.4695233,25.4911768,Baberu Km 43 Toll Plaza,Uttar Pradesh
